CompanyName,fueltype,aspiration,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,curbweight,enginetype,cylindernumber,enginesize,boreratio,horsepower,citympg,highwaympg,price
alfa-romero,gas,std,convertible,rwd,front,88.6,168.8,64.1,2548,dohc,four,130,3.47,111,21,27,13495
alfa-romero,gas,std,convertible,rwd,front,88.6,168.8,64.1,2548,dohc,four,130,3.47,111,21,27,16500
alfa-romero,gas,std,hatchback,rwd,front,94.5,171.2,65.5,2823,ohcv,six,152,2.68,154,19,26,16500
audi,gas,std,sedan,fwd,front,99.8,176.6,66.2,2337,ohc,four,109,3.19,102,24,30,13950
audi,gas,std,sedan,4wd,front,99.4,176.6,66.4,2824,ohc,five,136,3.19,115,18,22,17450
audi,gas,std,sedan,fwd,front,99.8,177.3,66.3,2507,ohc,five,136,3.19,110,19,25,15250
audi,gas,std,sedan,fwd,front,105.8,192.7,71.4,2844,ohc,five,136,3.19,110,19,25,17710
audi,gas,std,wagon,fwd,front,105.8,192.7,71.4,2954,ohc,five,136,3.19,110,19,25,18920
audi,gas,turbo,sedan,fwd,front,105.8,192.7,71.4,3086,ohc,five,131,3.13,140,17,20,23875
audi,gas,turbo,hatchback,4wd,front,99.5,178.2,67.9,3053,ohc,five,131,3.13,160,16,22,17859.167
bmw,gas,std,sedan,rwd,front,101.2,176.8,64.8,2395,ohc,four,108,3.5,101,23,29,16430
bmw,gas,std,sedan,rwd,front,101.2,176.8,64.8,2395,ohc,four,108,3.5,101,23,29,16925
bmw,gas,std,sedan,rwd,front,101.2,176.8,64.8,2710,ohc,six,164,3.31,121,21,28,20970
bmw,gas,std,sedan,rwd,front,101.2,176.8,64.8,2765,ohc,six,164,3.31,121,21,28,21105
bmw,gas,std,sedan,rwd,front,103.5,189,66.9,3055,ohc,six,164,3.31,121,20,25,24565
bmw,gas,std,sedan,rwd,front,103.5,189,66.9,3230,ohc,six,209,3.62,182,16,22,30760
bmw,gas,std,sedan,rwd,front,103.5,193.8,67.9,3380,ohc,six,209,3.62,182,16,22,41315
bmw,gas,std,sedan,rwd,front,110,197,70.9,3505,ohc,six,209,3.62,182,15,20,36880
chevrolet,gas,std,hatchback,fwd,front,88.4,141.1,60.3,1488,l,three,61,2.91,48,47,53,5151
chevrolet,gas,std,hatchback,fwd,front,94.5,155.9,63.6,1874,ohc,four,90,3.03,70,38,43,6295
chevrolet,gas,std,sedan,fwd,front,94.5,158.8,63.6,1909,ohc,four,90,3.03,70,38,43,6575
